"DOENÇA/AGRAVO","CÓDIGO","DESCRIÇÃO DO ITEM"
"Leucemia Mielóide Crônica. CID: C92.1","MS13188 MS33074","dasatinibe comprimido revestido 20 mg dasatinibe comprimido revestido 100 mg"
"Leucemia Linfoblástica Aguda Cromossoma Philadelphia Positivo. CID: C91.0 Leucemia Mielóide Crônica. CID: C92.1 Síndrome Hipereosinofílica. CID: D72.1 Neoplasia maligna do esôfago. CIDs: C15, C15.0, C15.1, C15.2, C15.3, C15.4, C15.5, C15.8, C15.9. Neoplasia maligna do estômago. CIDs: C16, C16.0, C16.1, C16.2, C16.3, C16.4, C16.5, C16.6, C16.8, C16.9. Neoplasia maligna do intestino delgado. CIDs: C17, C17.0, C17.1, C17.2, C17.3, C17.8, C17.9. Neoplasia maligna do ceco. CIDs: C18.0, C18.1, C18.2, C18.3, C18.4, C18.5, C18.6, C18.7, C18.8, C18.9. Neoplasia maligna da junção retossigmóide CID: C19. Neoplasia maligna do reto. CID: C20.","MS90328 MS19341","imatinibe (mesilato) comprimido revestido ou cápsula 100mg imatinibe (mesilato) comprimido revestido ou cápsula 400mg"
"digestivo com lesão invasiva. CID: C26.8. Neoplasia maligna dos nervos periféricos do abdome. CID: C47.4. Neoplasia maligna de partes especificadas do peritônio. CID: C48.1 Neoplasia maligna do tecido conjuntivo e tecidos moles do tórax.","",""
"Leucemia Mileóide Crônica. CID: 92.1","MS18241","nilotinibe cápsula gelatinosa dura 200mg"
"Linfoma não-Hodgkin, folicular (nodular). CIDs: C82, C82.0, C82.1, C82.2, C82.7, C82.9. Linfoma não-Hodgkin, grandes células (difuso).","MS5292","rituximabe solução injetável 500 mg frasco-ampola 50 mL"
"Linfoma não-Hodgkin, folicular (nodular). CIDs: C82, C82.0, C82.1, C82.2, C82.7, C82.9. Linfoma não-Hodgkin, grandes células (difuso).","MS5293","rituximabe solução injetável 100 mg frasco-ampola 10 mL"
"Neoplasia maligna da mama. CIDs: C50, C50.0, C50.1, C50.2, C50.3, C50.4, C50.5, C50.6, C50.8, C50.9.","MS36112","pertuzumabe solução injetável 30 mg/mL frasco-ampola 14 mL"
"Neoplasia maligna da mama. CIDs: C50, C50.0, C50.1, C50.2, C50.3, C50.4, C50.5, C50.6, C50.8, C50.9.","MS8957","trastuzumabe pó liófilo injetável 150 mg"
